,제목,저자,출판일,기관,초록
602,머신러닝 인공지능과 인간전문직의 협업의 의미와 법적 쟁점: 의사의 의료과실 책임을 사례로,설민수 /Min Soo Seul,2017,한국법학원,"머신러닝 인공지능의 출현은 오랫동안 인간전문직의 독점적 영역으로 알려졌던 분야에서 인공지능과 인간전문직의 협업을 현실로 만들고 있고 최근 IBM의 Watson이 보여주듯이 의료분야는 이러한 상업화가 앞선 분야이다.
하지만 머신러닝 인공지능과 인간전문직은 문제해결 접근방식에서 구체적 추론을 보면 그 과정을 알 수 없는 계산된 확률과 납득할 수 있는 해명에 기초한 상당성, 그리고 빅 데이터를 이용한 패턴인식과 자신의 경험을 바탕으로 한 귀추론의 적용이라는 명백한 차이가 존재한다. 그 위에 인간 언어 이해의 기술적 한계, 개발국가와 사용국가 사이의 관행 차이의 존재 등은 인간전문직과 머신러닝 인공지능 사이의 충돌가능성을 높인다.
이러한 상황에서 인간전문직과 머신러닝 인공지능이 협업을 한다고 하더라도 머신러닝 인공지능의 역할은 인간이 실질적 운전자가 아닌 지위로 전환되면서 책임경감이 논의되는 자율주행 자동차에서와 달리 인간전문직을 보조함으로써 실수를 예방하고 관련비용을 낮추는 역할에 국한된다. 구체적 예로서 의료과실에서 의사의 책임에 관해 보면 전문직으로서 법률상 독점적인 지위를 보호받고 있는 의사의 지위, 의사의 충실한 설명의무에 기초할 때만 성립할 수 있는 환자의 자기결정권과 같은 사정을 고려해 보면 의사를 보조하는 머신러닝 인공지능의 지위는 의료기기 정도로서 의사의 의료과실 책임체계에 변화를 가져오기는 어렵다. 오히려 의사의 진단과 치료법 선택에 관한 책임을 결과의 예견가능성을 전제로 인정하는 기존의 법원 판결에 비추어 머신러닝 인공지능과의 협업은 현재의 머신러닝 발전단계에서는 특히 머신러닝 인공지능과 의사의 진단이 다를 경우 그 책임범위를 확대시킬 가능성이 더 높다. 다만 머신러닝 인공지능이 상당한 수준에 올라갈 미래의 발전단계에서는 머신러닝 인공지능은 의사의 유력한 방어수단이 될 수 있을 것으로 보이고 그때 균형을 이루기 위한 법률상 책임체계에 대한 고민이 시작될 가능성이 크다.
인간의 실수방지와 전문직 활용 시 비용절감을 앞세운 머신러닝과 인간전문직의 협업은 점점 현실로 다가오고 있다. 상대적으로 그 활용 및 발전에 다양한 가능성이 열려있는 현재 단계에서는 포괄적인 규제보다는 상업화에 따른 점진적인 규제를 통해 대응해야 하고, 인간전문직 집단 역시 머신러닝 인공지능의 영향이 집중될 미숙련자들에 대한 교육‧훈련체계 개선에 힘을 기울여야 한다.The advent of machine learning artificial intelligence(hereafter “AI”) makes partnership between AI. and human professionals a reality in those areas that have long been regarded as a monopolistic area of human professionals and as the recent IBM Watson shows, the field of medicals is ahead of this commercialization trend.* Presiding Judge of Seoul Central District Court 

However, there is a clear distinction in problem solving approach between machine learning AI and human professionals, where machine learning AI leads those outcomes by calculation of probability by black-box process and recognition of hidden pattern based on big data while human professionals lead those outcomes by the plausibility based on explanations and application of abductive reasoning based on his or her own experience. Above it, the technical limitations of AI in understanding human language, and the existence of differences in practice between AI developing and using countries and other factors increase the possibility of collision between human professionals and machine learning AI.
In this situation, even if human professionals and machine learning AI cooperate in partnership, the role of machine learning AI is limited to assist human professionals to prevent mistakes and lower the related costs unlike autonomous vehicles where human does not works as drivers practically anymore and human's position changes from drivers to consumer actually so as to induce the discussion of the reduction in legal liability naturally As a concrete example, the physician’s liability in medical malpractice can not be changed largely even in partnership with machine learning AI when considering the status of the physician who is protected by law as sole provider of medical service and the patient’s self-determination right that can only be established based on the faithful explanation duty of the doctor, because status of physician assisting AI is medical device at best. Rather, in view of the existing court precedents that find physician liable in malpractice only when there is a possibility of foreseeability of the bad outcome in physician’s diagnosis and the choice of treatment, partnership with machine learning AI in the current stage of machine learning development enlarge physician’s liability expecially when diagnosis of physician and machine learning AI is differed. However, in the future where machine learning AI will reach a considerable level, machine learning AI will afford a strong defense for the physician, and at that time real deliberation of legal responsibility to balance will rise.
Partnership between machine learning AI and human professionals are becoming more and more reality in expectation of reduction of human error and cutting costs. In the current stage, where various possibilities for utilization and development are relatively open, it is better to adopt incremental regulation as commercialization steps rather than comprehensive regulation, and also the human professional group should improve the education and training system for the novice group whom will suffer from machine learning AI at large.Machine learning artificial intelligence, Human professionals, Partnership, Medical malpractice, Physician’s liability in diagnosis."
603,머신러닝을 이용한 빅데이터 품질진단 자동화에 관한 연구,이진형 /Jin-Hyoung Lee,2017,사)한국빅데이터학회,"본 연구에서는 빅데이터의 품질을 진단하는 방법을 자동화하는 방법을 제안하고 있다. 빅데이터의 품질 진단을 자동화해야 하는 이유는 4차 산업혁명이 이슈화 되면서 과거보다 더 많은 볼륨의 데이터를 발생 시키고 이 데이터들을 활용 하려는 요구가 증가하기 때문이다. 데이터는 급증하지만 데이터의 품질을 진단하기 위해 많은 시간이 소비된다면 데이터를 활용하기 위해 많은 시간이 걸리거나 데이터의 품질이 낮아질 수있다. 그러면 이러한 낮은 품질의 데이터로부터 의사결정이나 예측을 한다면 그 결과 또한 잘못된 방향을 제시할 것이다. 이러한 문제를 해결하기 위해 많은 데이터를 신속하게 진단하고 개선할 수 있는 머신러닝 이용한 빅데이터 품질 향상을 위한 진단을 자동화 할 수 있는 모델을 개발하였다. 머신러닝을 이용하여 도메인 분류 작업을 자동화하여 도메인 분류 작업 시 발생할 수 있는 오류를 예방하고 작업 시간을 단축시켰다.
연구 결과를 토대로 데이터 변환의 중요성, 학습되지 않은 데이터에 대한 학습 시킬 수 있는 방안 모색, 도메인별 분류 모델을 개발에 대한 연구를 지속적으로 진행한다면 빅데이터를 활용하기 위한 데이터 품질 향상에 기여할 수 있을 것이다.In this study, I propose a method to automate the method to diagnose the quality of big data. The reason for automating the quality diagnosis of Big Data is that as the Fourth Industrial Revolution becomes a issue, there is a growing demand for more volumes of data to be generated and utilized. Data is growing rapidly. However, if it takes a lot of time to diagnose the quality of the data, it can take a long time to utilize the data or the quality of the data may be lowered.
If you make decisions or predictions from these low-quality data, then the results will also give you the wrong direction.
To solve this problem, I have developed a model that can automate diagnosis for improving the quality of Big Data using machine learning which can quickly diagnose and improve the data. Machine learning is used to automate domain classification tasks to prevent errors that may occur during domain classification and reduce work time. Based on the results of the research, I can contribute to the improvement of data quality to utilize big data by continuing research on the importance of data conversion, learning methods for unlearned data, and development of classification models for each domain.Big Data, Data Quality, Machine Learning, Domain, Data Preprocessing"
604,머신러닝 기법을 적용한 지가 예측 연구,원석환 /Seok Hwan Won,2017,국토지리학회,"기존 개별공시지가는 표준지를 분석한 토지가격비준표의 다중 회귀식 결과로 산정되고 있다. 본 연구에서는 머신러닝 기법을 활용하여 토지특성과 토지의 국지적 공간패턴을 고려한 비선형적 모의방법을 제시하고자 한다. 경기도 용인시를 대상으로 100m 공간단위의 벡터 기반 격자와 지적도 및 수치표고자료를 융합하여 모의를 진행하였다. 모의결과 예측정확도는 C5.0 알고리즘을 활용한 의사결정나무 모형에서 75.8%(1996년), 70.3%(2005년)의 예측정확도를 나타냈다.
그리고 RBF 커널 알고리즘을 활용한 서포트 벡터 머신 모형의 경우 63.5%(1996년), 54.3%(2005년)의 예측정확도를 나타냈다. 본 연구의 머신러닝 모의방법은 개별공시지가 산정을 위한 국지적 토지특성 분석에 활용할 수 있을 것이다.The existing officially assessed individual land price is calculated as the multiple regression result of the land price index table which analyzed the officially assessed reference land price. The main purpose of this study is to suggest the nonlinear simulation method considering the characteristics of the land and the local spatial pattern by using the machine learning. The simulation model was performed by combining the 100m vector areal unit based cadastral map and the digital elevation model(DEM). The accuracy of prediction was 75.8%(1996) and 70.3%(2005) in decision trees of C5.0 algorithm. In the case of the support vector machine(SVM) model, prediction accuracy was 63.5%(1996) and 54.3%(2005). In the machine learning simulation, officially assessed individual land price grade was converted into nominal type data classified into 10 grades considering the distribution of officially assessed individual land price of Yongin city. Independent variables were constructed from 30,354 vector areal unit using geographical distances from hazardous aversion facilities, roads, schools, railways, parks, mountains, and land use. The machine learning simulation method of this study can be applied to the analysis of the local land characteristics for calculating the officially assessed individual land price.Prediction of Land Price, Machine Learning, Decision Tree, Support Vector Machine"
605,머신러닝 기반의 부당청구 탐지시스템에 대한 연구,김지혁 /Jihyeok Kim,2017,한국IT정책경영학회,"기존의 보험금 부당청구 탐지 시스템은 비즈니스 룰 기반으로 청구된 보험 사건에 대해 심사자의 경험과 지식을 바탕으로 룰을 도출하는 방법이다. 이를 통해 조사대상 룰과 조사대상 제외 룰로 구분하여 산출하고 있다. 그러나 보험사기는 점점 지능화 및 고도화됨에 따라 새로운 부당청구 패턴에 대한 지속적인 갱신이 필요하다.
본 논문에서는 부당청구건에 대한 비지도 학습을 통해 부당청구 패턴을 분류하고, 분류된 패턴을 라벨링하여 부당청구건에 대한 지도학습을 통해 신규 부당청구건에 대한 부당여부를 결정하는 머신러닝 기반의 지능형 부당청구 탐지시스템을 제안한다.The existing insurance claim detection system is a method of deriving a rule based on the experience and knowledge of the inspectors about the insurance case charged based on the business rule. And it is divided into the subject rule to be investigated and the exclusion rule to be investigated. However, as insurance fraud becomes increasingly intelligent and sophisticated, it is necessary to continually update on new fraudulent claims patterns.
In this paper, we classify the unfair claims patterns of unfair claims by labeling them and classify them as machine - learning based on the unfairness of new unfair claims through guidance learning about unfair claims. We propose intelligent fraud detection system.insurance fraud, unfair claim, machine-learning, patten classification, intelligence detection"
606,머신러닝 기법을 이용한 대졸자 취업예측 모형,최필선 /Pilsun Choi,2018,한국직업능력개발원,"본 연구는 머신러닝의 랜덤 포리스트 기법을 이용하여 대졸자의 취업 여부와 취업의 질을 예측하는 모형을 제시한다. 전통적 회귀분석에서는 설명변수의 외생성이나 오차항 분포에 대한 제약이 있지만 머신러닝 접근법은 이러한 제약에서 상대적으로 자유로운 편이다. 본 연구에서 사용한 예측인자에는 대졸자의 객관적 특성 변수뿐 아니라 취업관련 프로그램 참여 여부, 일자리 선택 시 고려사항, 감정빈도 변수 등 응답자가 주관적으로 평가하는 특성까지 포함되어 있다. 분석결과를 보면, 객관적 및 주관적 예측인자를 모두 사용하는 모형이 객관적 예측인자만 사용한 모형에 비해 취업여부와 취업의 질을 예측하는 모형 모두에서 예측성과가 더 우수한 것으로 나타났다. 랜덤 포리스트 기법을 사용하여 예측인자의 상대적 중요성을 파악한 결과, 취업여부 모형에서는 가구주 여부, 부모동거 여부와 같은 객관적 변수뿐 아니라 주관적 변수인 감정빈도 변수도 중요한 영향을 미쳤다. 취업의 질에 있어서도 학교유형이나 전공계열과 같은 객관적 변수는 물론 주관적 감정빈도 변수가 중요한 영향을 미치는 것으로 나타났다.This study presents a model to predict the employment status and the employment quality of college graduates using the random forest method of machine learning. In traditional regression analysis, there are some constraints on the problem of endogeneity and distribution of errors. However, the machine learning approach is relatively free from these constraints. The predictors used in this study include not only the objective characteristics of college graduates but also characteristics of respondents' subjective evaluation, including participation in employment programs, consideration of job selection, and emotional frequency. The estimation results show that the models using both objective and subjective predictors have better predictive performances than the model using only objective predictors in both the employment status and the employment quality models. As a result of analyzing the relative importance of predictors using the random forest method, not only the subjective variables such as householder status, parental cohabitation, and major, but also subjective variables, such as the emotional frequency, have an important effect on the employment status. This is also true of the model for predicting the quality of employment.employment prediction, employment quality, machine learning, random forest"
607,머신러닝 기반의 C2 시스템 추상화를 통한 C3 복합체계에서의 시뮬레이션 기반 통신 시스템 분석,강봉구 /Bong Gu Kang,2018,한국시뮬레이션학회,"최근 국방 모델링 및 시뮬레이션에서 상세한 통신 분석을 수행하기 위하여, 지휘통제(C2: Command and Control)와 통신(C: Communication) 시스템으로 구성된 C3복합체계(SoS: System of Systems)를 통하여 통신 시스템 분석을 수행하였다. 그러나 이러한 방법은 C2 시스템의 시간 및 공간적 제약을 요구한다. 이를 해결하기 위해, 본 연구에서는 C2 시스템을 추상화한 후, C 시스템과 결합하는 단일체계 환경에서의 통신 분석 방법에 대해 제안한다. 추상화 과정에 있어서, C 시스템 분석에 필요한 트래픽 모델과 모빌리티 모델을 정의하고, 모델 내부의 파라미터를 머신 러닝기반으로 학습한다. 제안한 기법을 통해 전장 환경에 따라서 다른 출력을 갖는 형태의 트래픽 및 모빌리티 모델 구성이 가능하다. 본 논문에서는 이러한 C2 시스템 추상화 과정을 C3 복합체계에 적용하여 보여주고, 실험을 통해 복합체계 분석에 있어서 기존 방법보다 정확한 분석이 가능함을 보였다. 제안한 방법으로 통해, 다양한 통신 파라미터를 갖는 실험 시나리오에 대해 효율적인 통신 분석이 가능할 것으로 기대한다.In the defense modeling and simulation, for the detailed analysis of the communication system, many studies have carried out the analysis under the C3 SoS(system of systems) which consists of C2(command and control) and C(communication). However, it requires time and space constraints of the C2 system. To solve this problem, this paper proposes a communication analysis method in the standalone system environment which is combined with the C system after abstracting the C2 system. In the abstraction process, we hypothesize the traffic model and mobility model for C system analysis and learn the parameters in the model based on machine learning. Through the proposed method, it is possible to construct traffic and mobility model with different output according to the battlefield. This case study shows how the process can be applied to the C3 SoS and the enhanced accuracy than the existing method. We expect that it is possible to carry out the efficient communication analysis against many experimental scenarios with various communication parameters.Machine Learning, System Abstraction, System of Systems, Communication System, Simulation"
608,머신러닝 모델링을 위한 웹 기반 위성영상 데이터 전처리 자동화 시스템 설계 및 구현,"이건우 /Lee, Geon-Woo",2018,대한공간정보학회,"최근 공간정보 분야에서 위성영상과 머신러닝을 이용한 연구가 활발하지만 위성영상과 머신러닝이 가진 특수성으로 인하여 발생하는 데이터 확보와 전처리에 대한 요구사항을 반영한 연구는 미비하다. 이 연구에서는 위성영상기반의 머신러닝 모델링 과정에서 발생하는 요구사항을 분석하여 최신 IT 트렌드인 마이크로 서비스 아키텍처 기반의 가볍고 확장성 있는 시스템을 제시하였다. 제시하는 시스템은 데이터 확보의 요구사항을 반영하여 데이터베이스를 구축하고 시공간 필터링 및 운량 필터링 기능을 통한 효과적 데이터 확보 기능을 제공하고, 위성영상 데이터의 머신러닝 모델링 적용에 필요한 전처리에 대하여 GUI 기반의 자동화 기능을 제공하도록 설계하였다. 또한, 다수의 사용자들이 접근할 수 있도록 웹 기반으로 설계하였으며 서비스 단위의 독립적인 개발과 확장이 가능한 마이크로서비스 아키텍처 스타일로 설계 및 구현하였다.Applying machine learning to satellite images has been actively studied in the field of geospatial information. However, there are few studies that consider data acquisition and preprocessing requirements arising from satellite image and machine learning specificity. In this study, we propose a lightweight and scalable system based on microservice architecture, which is the latest IT trend, by analyzing data acquisition and preprocessing requirements in the machine learning modeling process using satellite imagery. The proposed system facilitate effective data acquisition through spatio-temporal filtering and cloud cover filtering by constructing database, and facilitate automatic preprocessing with GUI for applying machine learning to satellite images. Moreover, we has designed a web-based system to be accessible by a number of users, has designed and implemented in a microservice architecture style that are independently developable and scalable as each service unit.Automatic Preprocessing, Machine Learning, Web System, Microservice"
609,머신러닝을 이용한 사용자 행동 인식 기반의 PIN 입력 기법 연구,정창훈 /Changhun Jung,2018,한국정보처리학회,"이 논문에서는 스마트폰에서 사용자 인증 프로토콜에 머신러닝을 사용하는 기법을 제안한다. 우리가 제안하는 기법은 사용자가 PIN을 입력할 때, PIN 뿐만 아니라 추가적으로 스크린을 터치하는 시간 간격 및 위치를 인증 정보로 수집하여 식별자로 사용하는 기법이다. 먼저 사용자 등록 단계에서 다수의 사용자 터치 시간 및 위치 데이터를 수집 한 다음, 그 데이터로 머신러닝을 이용하여 모델을 제작한다. 그리고 사용자 인증 단계에서 사용자가 입력한 PIN을 비교하고, PIN이 일치하면 사용자의 터치 시간 및 위치 데이터를 모델에 입력하여 기존에 수집한 데이터와 거리를 비교하여, 그에 따라 인증 성공 여부가 결정된다. 우리는 사용성 실험과 보안성 실험을 통하여 이 기법을 사용하는데 큰 불편이 없다는 것(FRR : 0%)과, 이전의 사용되고 있던 PIN 입력 기법보다 안전하다는 것(FAR : 0%)을 보였고, 그에 따라 충분히 사용될 수 있는 기법이라는 것을 확인하였다. 또한 숄더 서핑 공격 실험을 통하여 PIN이 유출되어도 보안 사고가 발생하기 힘들다는 것(FAR : 5%)을 확인하였다.In this paper, we propose a PIN entry method that combines with machine learning technique on smartphone. We use not only a PIN but also touch time intervals and locations as factors to identify whether the user is correct or not. In the user registration phase, a remote server was used to train/create a machine learning model using data that collected from end-user device (i.e. smartphone). In the user authentication phase, the pre-trained model and the saved PIN was used to decide the authentication success or failure. We examined that there is no big inconvenience to use this technique (FRR: 0%) and more secure than the previous PIN entry techniques (FAR : 0%), through usability and security experiments, as a result we could confirm that this technique can be used sufficiently. In addition, we examined that a security incident is unlikely to occur (FAR: 5%) even if the PIN is leaked through the shoulder surfing attack experiments.Smartphone, Authentication Protocol, User Behavior Recognition, Machine Learning, PIN"
610,머신러닝 인공지능의 법 분야 적용의 현재와 미래： 미국의 현황과 법조인력 구조 및 법학교육에 대한 논의를 중심으로,설민수 /Min Soo Seul,2016,한국법학원,"오랫동안 인공지능에 의한 법률가의 역할 대체는 호기심 차원에서 논의되어 오던 일이다. 하지만 최근 빅데이터를 바탕으로 인간의 행동결과를 자동적으로 반영하는 방식으로 인간의 학습방식에 가깝게 인간 행동의 결과를 모방할 수 있는 머신러닝 인공지능이 대두하면서 법률가 역할의 대체는 단순한 호기심이 아닌 현실의 문제, 특히 파괴적 혁신의 측면에서 다가오고 있다.
이 글은 현재까지 개발된 머신러닝 인공지능의 주류적 방식인 지도학습 방식과 새롭게 떠오르고 있는 딥러닝과 같은 임의학습 방식의 머신러닝 인공지능의 기본적인 개념과 한계를 소개하고 이를 바탕으로 미국에서 실제 적용되는 법 분야인 증거개시 분야의 예측적 코딩, 종래 컴퓨터가 사용되었던 분야에서 점진적인 머신러닝 인공지능을 대표하는 자연어 검색, 그리고 마지막으로 인간의 추론과 가장 유사하지만 다분히 미래의 적용영역인 사건의 분석 및 결과예측 분야에서의 적용 움직임과 함께 관련 법적 장애물과 발전가능성, 그리고 미국 법원의 판결 등을 정리했다.
아직 발전 중인 머신러닝 인공지능이 파괴적 혁신으로 부각되고 있는 것은 법률분야의 기술적 발전이 2008년 금융위기 이후 그동안 미국 로스쿨 교육의 실무적 전문성 부족을 메워주던 대형로펌을 중심으로 한 미국의 법률산업 성장구조가 2008년 금융위기 이후 신규변호사의 수요감소를 특징으로 하는 마이너스 성장을 일으킨 한 원인으로 지목되며 머신러닝 인공지능은 현실화될 경우 그 파급영향이 큰 기술이기 때문이다. 머신러닝 인공지능의 부각에 따라 미국 법률산업 구조의 변화와 그에 대비한 로스쿨 교육의 혁신을 요구하는 움직임이 미국에서 움트고 있다.
한국의 경우 선도적으로 머신러닝 인공지능을 법 분야에 적용할 가능성은 여러 가지 여건상 크지 않다. 거꾸로 이는 미국에서 IBM의 Watson과 같이 현재 법률산업에 진입을 시도 중인 머신러닝 인공지능이 완성적 형태로 수입되었을 때 아무런 대비 없이 법률산업이 이를 마주할 가능성이 높고 상대적으로 실무적 전문성이 취약한 한국의 법률교육체계는 더욱 큰 영향을 받을 수 있다.The possibility of replacing lawyer's role by Artificial Intelligence(hereafter 'AI') has remained in curiosities till recent days. However, recent developments of Machine Learning which refers to the computer program able to learn from experience and improves performance over time based on the Big Data makes it real cases called as “disruptive innovation” in law.
This article introduces concept and limits of Machine Learning in law area including supervised model which has been main and imminently surging unsupervised model represented by “deep learning”. After that, this article articulates current status, future developments, legal and technological barriers, and court opinions in the U.S. the leading country in this area, including predictive coding currently applied in discovery, legal search focusing on natural language search and predictive analytics similar to human legal reasoning but still undeveloped.
The rise of Machine Learning AI as disruptive innovation coming from adoption of present technology is one of main causes of so called Great Recession in U.S. Legal industry after 2008 financial crisis which featured declining role of big law firms in it and reduced demand of entry level lawyer. This leads to the crisis of law school education and spreads to the reform of it.
Korea has not much future possibility to the status of leading country of Machine Learning AI in law considering technological background and market condition. Reversely, this will make abrupt encountering of completed and developed Machine Learning AI by imports from U.S. such as IBM's Watson trying to be introduced in U.S. now. The near future may be a really shocking moments to Korea's legal education.Machine learning, Artificial intelligence, Discovery, Predictive coding, Legal search, Predictive analytics, Search and seizure, Law school, Legal profession, Entry level lawyer"
611,머신러닝을 이용한 공공시설 호우피해 예측함수 개발,최창현 /Changhyun Choi,2017,한국방재학회,"본 연구에서는 머신러닝(기계학습)을 활용하여 경기도 지역의 호우로 인한 공공시설물 피해를 예측하는 함수를 개발하였다.
종속변수로 재해연보상의 공공시설 피해액을 사용하였고, 설명변수로 기상요소와 사회⋅경제적 요소를 고려하였다. 실제 호우피해액과 예측 호우피해액을 비교하여 예측력을 평가한 결과 NRMSE(Normalized Root Mean Squared Error)는 22.93~24.16% 로 나타났으며, 배깅 방법을 이용한 함수가 가장 좋은 예측력을 보였다. 본 연구에서 개발된 함수를 이용하여 예방 및 대비 차원의 재난관리를 실시한다면, 호우피해를 줄이는데 큰 도움이 될 것으로 판단된다.We developed heavy rain damage prediction functions for the prediction of public facility damage to be occurred by heavy rain in Gyeonggi-do province. This study used machine learning such as decision tree, bagging, and random forest models for the function development and data of public facility damages which can be obtained from annual reports for natural disaster damages published in Korea as a dependent variable. Also, meteorological factors and socio-economic factors were considered as explanatory variables then the prediction functions were developed. As a result of comparing the amount of actual heavy rain damages with the amount of predicted damages, the NRMSE(Normalized Root Mean Squared Error) was in the range of 22.93~24.16%. The function using the bagging method showed the best prediction performance. If the predicted damages by the developed functions are used for disaster prevention and preparation, it will be a great help to reduce heavy rain damage.Heavy Rain Damage Prediction Function, Machine Learning, Socio-economic Variable, Public Facility"
612,머신러닝 인공지능과 인간전문직의 협업의 의미와 법적 쟁점: 의사의 의료과실 책임을 사례로,설민수 /Min Soo Seul,2017,한국법학원,"머신러닝 인공지능의 출현은 오랫동안 인간전문직의 독점적 영역으로 알려졌던 분야에서 인공지능과 인간전문직의 협업을 현실로 만들고 있고 최근 IBM의 Watson이 보여주듯이 의료분야는 이러한 상업화가 앞선 분야이다.
하지만 머신러닝 인공지능과 인간전문직은 문제해결 접근방식에서 구체적 추론을 보면 그 과정을 알 수 없는 계산된 확률과 납득할 수 있는 해명에 기초한 상당성, 그리고 빅 데이터를 이용한 패턴인식과 자신의 경험을 바탕으로 한 귀추론의 적용이라는 명백한 차이가 존재한다. 그 위에 인간 언어 이해의 기술적 한계, 개발국가와 사용국가 사이의 관행 차이의 존재 등은 인간전문직과 머신러닝 인공지능 사이의 충돌가능성을 높인다.
이러한 상황에서 인간전문직과 머신러닝 인공지능이 협업을 한다고 하더라도 머신러닝 인공지능의 역할은 인간이 실질적 운전자가 아닌 지위로 전환되면서 책임경감이 논의되는 자율주행 자동차에서와 달리 인간전문직을 보조함으로써 실수를 예방하고 관련비용을 낮추는 역할에 국한된다. 구체적 예로서 의료과실에서 의사의 책임에 관해 보면 전문직으로서 법률상 독점적인 지위를 보호받고 있는 의사의 지위, 의사의 충실한 설명의무에 기초할 때만 성립할 수 있는 환자의 자기결정권과 같은 사정을 고려해 보면 의사를 보조하는 머신러닝 인공지능의 지위는 의료기기 정도로서 의사의 의료과실 책임체계에 변화를 가져오기는 어렵다. 오히려 의사의 진단과 치료법 선택에 관한 책임을 결과의 예견가능성을 전제로 인정하는 기존의 법원 판결에 비추어 머신러닝 인공지능과의 협업은 현재의 머신러닝 발전단계에서는 특히 머신러닝 인공지능과 의사의 진단이 다를 경우 그 책임범위를 확대시킬 가능성이 더 높다. 다만 머신러닝 인공지능이 상당한 수준에 올라갈 미래의 발전단계에서는 머신러닝 인공지능은 의사의 유력한 방어수단이 될 수 있을 것으로 보이고 그때 균형을 이루기 위한 법률상 책임체계에 대한 고민이 시작될 가능성이 크다.
인간의 실수방지와 전문직 활용 시 비용절감을 앞세운 머신러닝과 인간전문직의 협업은 점점 현실로 다가오고 있다. 상대적으로 그 활용 및 발전에 다양한 가능성이 열려있는 현재 단계에서는 포괄적인 규제보다는 상업화에 따른 점진적인 규제를 통해 대응해야 하고, 인간전문직 집단 역시 머신러닝 인공지능의 영향이 집중될 미숙련자들에 대한 교육‧훈련체계 개선에 힘을 기울여야 한다.The advent of machine learning artificial intelligence(hereafter “AI”) makes partnership between AI. and human professionals a reality in those areas that have long been regarded as a monopolistic area of human professionals and as the recent IBM Watson shows, the field of medicals is ahead of this commercialization trend.* Presiding Judge of Seoul Central District Court 

However, there is a clear distinction in problem solving approach between machine learning AI and human professionals, where machine learning AI leads those outcomes by calculation of probability by black-box process and recognition of hidden pattern based on big data while human professionals lead those outcomes by the plausibility based on explanations and application of abductive reasoning based on his or her own experience. Above it, the technical limitations of AI in understanding human language, and the existence of differences in practice between AI developing and using countries and other factors increase the possibility of collision between human professionals and machine learning AI.
In this situation, even if human professionals and machine learning AI cooperate in partnership, the role of machine learning AI is limited to assist human professionals to prevent mistakes and lower the related costs unlike autonomous vehicles where human does not works as drivers practically anymore and human's position changes from drivers to consumer actually so as to induce the discussion of the reduction in legal liability naturally As a concrete example, the physician’s liability in medical malpractice can not be changed largely even in partnership with machine learning AI when considering the status of the physician who is protected by law as sole provider of medical service and the patient’s self-determination right that can only be established based on the faithful explanation duty of the doctor, because status of physician assisting AI is medical device at best. Rather, in view of the existing court precedents that find physician liable in malpractice only when there is a possibility of foreseeability of the bad outcome in physician’s diagnosis and the choice of treatment, partnership with machine learning AI in the current stage of machine learning development enlarge physician’s liability expecially when diagnosis of physician and machine learning AI is differed. However, in the future where machine learning AI will reach a considerable level, machine learning AI will afford a strong defense for the physician, and at that time real deliberation of legal responsibility to balance will rise.
Partnership between machine learning AI and human professionals are becoming more and more reality in expectation of reduction of human error and cutting costs. In the current stage, where various possibilities for utilization and development are relatively open, it is better to adopt incremental regulation as commercialization steps rather than comprehensive regulation, and also the human professional group should improve the education and training system for the novice group whom will suffer from machine learning AI at large.Machine learning artificial intelligence, Human professionals, Partnership, Medical malpractice, Physician’s liability in diagnosis."
